"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"188.800","2.009","33.132660","14.324805","-0.162787","-1.109872","-1.117708","-10.614537","-2.629167","31.853323","100.000000","48.654919","49.187458","50.281235","50.343739","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","36.999222","38.999084","36.059681","35.499565","50.000000","50.000000","100.000000","50.000000","1.213219","137.038544","0.008500","353.299957","357.599884","42.439350","0.000000","566.611023","494.101257","358.654877","353.699982","6170.480957","43.839474","25.000000","0.845595","4.538146","0.098000","104.000000","2.509828","0.003205","83.000000","36.019970","1.969522","1.084476","100.000000","31.000000","14.182967","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","50.459999","11.000000","1.287966","0.471402","-1.143189","-102.089439","52.530968","682.463013","0.780000","0.110000","47.221246300837","14.763970563148","684.11"
"188.900","2.010","33.135544","14.326666","-0.286686","-0.922446","-1.084421","-7.700481","-3.507568","26.000645","100.000000","48.778515","47.846188","50.281235","50.343739","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","37.559532","39.559212","36.439594","35.738613","50.000000","50.000000","100.000000","50.000000","0.831885","156.142639","0.007000","353.299957","357.599884","35.266926","0.000000","413.612793","412.662506","358.599854","353.699982","6268.284180","42.999924","25.000000","0.836048","4.353766","0.098000","104.000000","2.604260","0.003077","83.000000","36.304306","1.949988","0.879608","100.000000","31.000000","14.069452","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","52.576000","11.000000","1.114231","0.545548","-1.030087","-97.809898","43.532322","682.410522","0.780000","0.104200","47.221244760560","14.763951150141","684.05"
"189.000","2.012","33.149952","14.326012","-0.303946","-0.836937","-1.170166","-6.487833","-2.462769","19.686094","100.000000","48.668652","48.970627","50.281235","50.343739","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","36.999222","38.939163","35.999695","36.679100","50.000000","50.000000","100.000000","50.000000","0.775517","112.950745","0.009000","353.299957","357.599884","34.199272","0.000000","655.349976","585.855591","358.599854","353.699982","6428.916016","42.999924","25.000000","0.835320","4.333344","0.098000","104.000000","2.639520","0.003026","83.000000","36.523060","1.949988","0.922256","100.000000","31.000000","14.021684","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","54.369999","11.000000","0.872737","0.517825","-0.886504","-93.646103","32.342686","682.362732","0.780000","0.094200","47.221244029579","14.763931015389","684.00"
"189.100","2.013","33.164360","14.325357","-0.304282","-0.838777","-1.092157","-1.798172","-1.358108","22.707184","100.000000","49.323872","49.148090","50.281235","50.343739","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","36.999222","38.999084","36.559566","37.999313","50.000000","50.000000","100.000000","50.000000","0.679773","107.967064","0.012000","353.299957","357.599884","37.858494","0.000000","650.905945","472.927185","358.599854","353.699982","6612.874512","42.999924","25.000000","0.830674","4.306276","0.098000","104.000000","2.098257","0.003049","83.000000","36.858681","1.949988","0.959287","100.000000","31.000000","14.246021","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.986000","12.740000","0.705032","0.484072","-0.696167","-89.567329","24.741140","682.332458","0.780000","0.095800","47.221243892948","14.763910317431","683.97"
"189.200","2.015","33.178764","14.324703","-0.123607","-0.970257","-1.116732","-3.486020","-3.220238","33.589977","100.000000","48.791637","49.291828","50.281235","50.343739","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","38.000000","39.378803","35.619781","36.198765","50.000000","50.000000","100.000000","50.000000","0.507505","159.465088","0.006000","353.299957","357.599884","45.174915","0.000000","644.370605","641.317444","358.599854","353.699982","6827.124023","42.398994","25.000000","0.818598","4.279407","0.098000","104.000000","1.721980","0.003150","83.000000","37.643490","1.952626","0.962683","100.000000","30.478580","14.130423","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","57.686001","14.000000","0.736987","0.457904","-0.474203","-85.615295","24.901567","682.323059","0.780000","0.100000","47.221244303497","14.763889037021","683.96"
"189.300","2.016","33.193172","14.324050","-0.036529","-1.168741","-0.989423","-6.808414","4.660757","35.034966","100.000000","48.633247","49.726711","50.281235","50.343739","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","34.999222","35.999771","35.059910","34.919247","50.000000","50.000000","100.000000","50.000000","0.499419","153.484665","0.008800","353.299957","357.606018","51.965942","0.000000","637.835266","591.201294","358.599854","353.699982","7136.264160","41.290333","25.000000","0.795128","4.144814","0.098000","104.000000","2.166551","0.003235","83.000000","38.308521","1.980901","0.945535","100.000000","30.564398","14.028865","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","59.270000","14.000000","0.973115","0.415815","-0.235051","-81.856918","32.368351","682.328125","0.780000","0.105800","47.221245450884","14.763867204574","683.97"
"189.400","2.018","33.207577","14.323396","-0.000062","-1.495824","-1.109664","-8.626149","-5.943417","48.751331","97.423180","48.722820","49.090565","50.281235","50.343739","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","36.999222","37.619595","33.438694","35.139389","50.000000","50.000000","100.000000","50.000000","0.723602","120.544922","0.011857","353.299957","357.654785","48.575485","0.007932","631.299866","541.085144","358.599854","353.727051","7350.929688","40.017609","25.000000","0.766963","3.984951","0.098000","104.000000","2.842893","0.003223","83.000000","38.704521","1.999992","0.927310","100.000000","30.957983","14.068460","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","60.712002","14.000000","1.278418","0.360967","0.034583","-78.342857","42.045380","682.338257","0.780000","0.115800","47.221247658524","14.763845014164","683.98"
"189.500","2.020","33.221985","14.322742","0.186358","-1.534709","-1.145165","-8.027458","1.653207","35.578968","99.713684","49.275654","50.316319","50.281235","50.325619","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","32.999222","33.998627","32.378937","30.379263","50.000000","50.000000","100.000000","50.000000","0.595514","119.595657","0.014500","353.299957","357.599884","53.003242","0.000000","624.764526","490.968994","358.599854","353.899811","7550.506348","38.163212","25.000000","0.764815","3.793069","0.098000","104.000000","3.216601","0.003191","83.000000","40.550571","1.993611","0.916998","100.000000","31.000000","14.143005","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","61.995998","14.000000","1.479965","0.310529","0.314416","-75.032539","47.974808","682.350769","0.780000","0.120000","47.221251211381","14.763822756242","683.99"
"189.600","2.022","33.236393","14.322087","-0.069457","-1.283683","-1.094483","-6.350953","-7.538664","39.628941","100.000000","49.124893","50.171207","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","34.378834","35.379398","30.999252","31.379034","50.000000","50.000000","100.000000","50.000000","1.159663","143.960312","0.007667","353.299957","357.632111","29.371233","0.000000","618.229187","440.852844","358.599854","353.899811","7650.472656","37.218739","25.000000","0.768065","3.941908","0.098000","104.000000","3.441327","0.003165","83.000000","40.811249","1.943748","0.914553","100.000000","31.000000","13.993734","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","62.964001","14.000000","1.496332","0.299389","0.539588","-71.769653","47.821255","682.368652","0.774200","0.120000","47.221256198499","14.763800722598","684.01"
"189.700","2.023","33.250797","14.321433","0.062933","-1.126908","-1.340421","-3.561411","-4.357721","16.730810","100.000000","48.489510","49.862362","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","30.999222","32.998856","31.499138","31.818678","50.000000","50.000000","100.000000","50.000000","0.890362","136.207932","0.011000","353.299957","357.674133","22.499611","0.000000","611.693848","290.504364","358.599854","353.960907","7614.520020","35.921417","25.000000","0.754110","3.946351","0.098000","104.000000","3.552808","0.003110","83.000000","40.948338","1.962610","0.918444","100.000000","31.000000","13.898812","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","63.995998","14.000000","1.306014","0.344830","0.685463","-68.399292","40.863255","682.389893","0.770000","0.114200","47.221262538006","14.763779004857","684.03"
"189.800","2.025","33.265350","14.320772","-0.178976","-0.567735","-1.155142","-4.275320","-4.848711","11.435864","95.549599","48.600441","50.208668","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","16.569183","17.569536","25.139006","25.709820","50.000000","50.000000","100.000000","50.000000","1.525470","151.763031","0.006727","353.299957","357.599884","26.038950","0.000000","605.093140","577.186646","358.599854","353.909515","7613.367188","24.535759","25.000000","0.695111","3.081059","0.098000","104.000000","3.647096","0.002958","83.000000","44.105923","1.999992","0.915219","100.000000","31.000000","14.012162","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","65.208000","14.000000","0.964237","0.365199","0.797820","-64.852791","28.899208","682.412354","0.770000","0.115900","47.221269995372","14.763757208616","684.05"
"189.900","2.027","33.264366","14.319323","0.127884","-0.706139","-1.081209","-1.302503","2.820419","20.528446","99.184830","47.948044","50.230030","50.281235","50.294418","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","11.029261","12.028816","8.429658","9.659647","50.000000","50.000000","100.000000","50.000000","1.749594","97.999702","0.013875","353.299957","357.599884","44.892998","0.000000","598.557800","557.621948","358.481934","353.999847","7672.207520","11.417150","25.000000","0.599221","2.289282","0.098000","104.000000","3.720446","0.002857","83.000000","42.713745","1.996157","0.902057","100.000000","31.000000","14.137888","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","66.585007","14.000000","0.714005","0.247020","0.903302","-61.309280","20.107515","682.443237","0.770000","0.114100","47.221278011039","14.763735605355","684.08"
"190.000","2.029","33.252686","14.317321","0.420998","-1.272476","-0.915047","-9.162840","2.123347","43.771805","87.399994","49.975204","48.359043","50.281235","50.281483","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.999222","0.999771","0.059986","0.739254","50.000000","50.000000","100.000000","50.000000","3.391826","90.524185","0.011834","353.299957","357.599884","55.237015","0.559754","592.022461","575.267334","358.399780","353.999847","7591.332520","3.942077","25.000000","0.497558","1.571775","0.098000","104.000000","3.680289","0.002874","83.000000","22.805862","1.967825","0.915139","100.000000","30.451296","13.990693","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","67.082001","14.000000","0.811726","0.010962","1.006434","-57.894794","22.688576","682.482056","0.770000","0.115900","47.221286454668","14.763714241064","684.13"
"190.100","2.031","33.241005","14.315318","0.772008","-1.396675","-0.991715","-11.723694","1.329625","44.415134","80.166946","49.999237","0.000000","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.999222","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.603915","111.658676","0.011556","353.313782","357.599884","36.467106","1.553557","585.487122","439.533997","358.399780","353.999847","7396.016113","0.645640","25.000000","0.431942","1.028234","0.098000","104.000000","3.584394","0.002884","83.000000","10.499725","1.954121","0.923359","100.000000","30.582939","14.104189","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","66.587006","13.410000","1.202144","-0.210463","1.102806","-54.688637","34.943916","682.517456","0.770000","0.114100","47.221295583297","14.763693765315","684.16"
"190.200","2.033","33.229328","14.313315","0.784496","-1.173801","-0.917926","-6.952714","-2.662057","35.889687","71.862122","49.999237","0.000000","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.368872","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.471936","142.437531","0.009750","353.334412","357.599884","26.891453","2.191777","578.951721","616.259399","358.399780","354.003998","7229.642578","0.000000","25.000000","0.403216","0.903181","0.098000","104.000000","3.284664","0.002862","83.000000","10.499725","1.982362","0.951518","100.000000","30.975151","14.163148","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","65.651001","13.000000","1.517045","-0.329808","1.208001","-51.639359","45.519112","682.545837","0.770000","0.115900","47.221305681005","14.763674801200","684.19"
"190.300","2.034","33.217648","14.311314","0.804944","-0.996288","-1.022491","-5.887565","-7.666792","21.850111","69.761734","0.660334","0.000000","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.628949","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","6.317574","112.950745","0.010500","353.388916","357.599884","24.149651","2.389674","572.416382","351.822968","358.397034","354.099884","7122.779297","0.000000","25.000000","0.396512","0.903181","0.098000","104.000000","2.468260","0.002836","83.000000","10.499725","1.995527","1.266726","100.000000","31.000000","14.148582","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","64.433006","13.000000","1.463102","-0.378742","1.349636","-48.589733","44.689240","682.581055","0.770000","0.131800","47.221316665203","14.763657603238","684.22"
"190.400","2.036","33.205971","14.309311","0.629096","-0.439495","-1.002373","-7.089083","-5.756706","9.070847","72.610733","0.000000","0.000000","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.658833","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","7.049890","161.956940","0.005500","353.365173","357.599884","24.780260","3.899204","565.881042","479.442261","358.299896","354.099884","6980.058105","0.000000","25.000000","0.398999","0.917648","0.098000","104.000000","1.550178","0.002809","83.000000","10.499725","1.967387","1.762761","100.000000","31.000000","14.076889","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","62.896999","13.000000","1.112982","-0.410264","1.526966","-45.344959","34.148647","682.624573","0.770000","0.140000","47.221328124834","14.763641975888","684.27"
"190.500","2.038","33.194290","14.307309","0.564542","-0.548443","-0.897866","-3.033505","-1.609455","19.687578","65.958351","45.081028","0.000000","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.628949","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","7.145458","162.787552","0.005500","353.399994","357.599884","39.116680","4.638481","559.345703","611.915955","358.299896","354.099884","6787.091309","0.000000","25.000000","0.404266","0.918457","0.098000","104.000000","1.040126","0.002772","83.000000","10.499725","1.954760","1.981422","100.000000","31.000000","14.004854","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","61.315002","13.000000","0.798865","-0.437962","1.729564","-41.777836","24.579796","682.669128","0.770000","0.128200","47.221339709616","14.763627506376","684.31"
"190.600","2.039","33.182610","14.305306","0.701187","-0.841305","-0.967854","-3.410416","-4.135026","34.515701","61.250870","43.998856","0.000000","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.000000","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","7.115516","158.080246","0.007900","353.399994","357.599884","42.900002","4.299516","552.810364","492.468018","358.299896","354.099884","6603.016602","0.000000","25.000000","0.404408","0.921207","0.098000","104.000000","1.119297","0.002795","83.000000","10.499725","1.982807","1.992188","100.000000","31.000000","14.120680","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","59.756001","13.000000","0.763130","-0.476501","1.975363","-37.909569","24.327694","682.713440","0.770000","0.120000","47.221351287643","14.763613988990","684.36"
"190.700","2.041","33.170933","14.303304","0.822971","-1.077640","-1.006582","-4.468616","-0.794210","39.851463","61.202385","0.000000","0.000000","50.281235","50.268322","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.969183","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","6.279781","84.709885","0.013500","353.399994","357.599884","54.064827","4.544804","546.275024","423.412415","358.299896","354.250549","6377.480469","0.000000","25.000000","0.400999","0.932239","0.098000","104.000000","1.810331","0.002836","83.000000","10.499725","1.999992","1.992188","100.000000","31.000000","14.340091","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","58.038002","13.000000","0.977532","-0.525542","2.244653","-33.879154","32.992649","682.763306","0.770000","0.131800","47.221362937007","14.763601642398","684.40"
"190.800","2.043","33.159252","14.301302","0.888606","-1.420472","-0.988895","-10.219120","-6.303185","55.208996","57.559544","29.314642","0.000000","50.281235","50.272255","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","0.999222","0.999771","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","5.903427","117.934425","0.014500","353.395813","357.599884","53.289547","3.676507","539.739624","246.675537","358.299896","354.127594","6160.283691","0.000000","25.000000","0.404597","0.920586","0.098000","104.000000","2.488754","0.002851","83.000000","12.995308","1.994681","1.992188","100.000000","31.000000","14.271233","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","56.179001","13.000000","1.243366","-0.543929","2.453095","-29.804394","44.034920","682.822144","0.770000","0.128200","47.221374780643","14.763590896518","684.46"
"190.900","2.044","33.159687","14.298420","0.931606","-1.370074","-1.023448","-8.285868","-12.575279","55.937180","63.877777","45.658047","0.000000","50.281235","50.275600","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","10.999222","11.998856","4.698924","5.298467","50.000000","50.000000","100.000000","50.000000","4.599872","124.579330","0.010000","353.335266","357.599884","44.719326","2.679793","533.138916","525.047974","358.299896","354.143036","6057.179688","4.017395","25.000000","0.461117","1.668451","0.098000","104.000000","2.823073","0.002889","83.000000","26.619043","1.966389","1.992188","100.000000","31.000000","14.070953","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","54.260002","13.000000","1.403639","-0.487297","2.600288","-25.656639","51.787041","682.894714","0.770000","0.132000","47.221386992093","14.763582000582","684.54"
"191.000","2.046","33.168388","14.294986","0.506469","-1.001795","-0.782715","-6.007090","1.687644","31.455772","60.999935","47.811092","52.593269","50.281235","50.264351","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","10.999222","12.799954","5.998627","7.799497","50.000000","50.000000","100.000000","50.000000","3.399854","132.885468","0.010000","353.399994","357.599884","44.498444","1.899651","526.603577","495.426544","358.299896","354.219879","6103.372070","7.777829","25.000000","0.524885","2.249209","0.098000","104.000000","3.030367","0.002938","83.000000","36.248035","1.949988","1.958894","100.000000","31.000000","14.030050","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","52.599998","13.000000","1.411542","-0.351547","2.773321","-21.441961","53.835938","682.978638","0.770000","0.176000","47.221399306278","14.763575213454","684.62"
"191.100","2.047","33.177094","14.291551","-0.147732","-0.882039","-0.689209","-4.213575","-2.777002","27.396152","61.255974","47.780575","49.999237","50.281235","50.266853","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","12.000000","12.998627","7.999756","7.799497","50.000000","50.000000","100.000000","50.000000","2.339877","83.048660","0.015000","353.399994","357.599884","26.799221","1.399637","655.349976","329.595001","358.299896","354.099884","6075.283691","9.217059","25.000000","0.552261","2.357529","0.098000","104.000000","3.067159","0.002908","83.000000","38.171234","1.943928","1.724578","100.000000","31.000000","14.055891","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","51.760002","13.600000","1.295040","-0.201394","3.004796","-17.057688","50.178173","683.077332","0.770000","0.206000","47.221411793381","14.763570227753","684.72"
"191.200","2.048","33.185795","14.288116","0.378049","-1.180142","-1.071779","-3.201258","2.253964","27.321938","58.618603","47.998779","47.327381","50.281235","50.264351","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","14.800000","15.999542","7.999756","7.599222","50.000000","50.000000","100.000000","50.000000","2.999652","96.893066","0.015000","353.399994","357.599884","52.119713","1.239994","466.302673","541.361816","358.299896","354.201416","5956.873535","11.557794","25.000000","0.573586","2.752675","0.098000","104.000000","2.887326","0.002879","83.000000","38.356289","1.928553","1.288061","100.000000","31.000000","14.164062","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","51.360001","14.000000","1.158653","-0.115865","3.225958","-12.503819","45.287407","683.172607","0.776000","0.192000","47.221424401532","14.763566767462","684.82"
"191.300","2.050","33.194500","14.284682","0.217675","-0.975326","-1.138489","-6.990410","-10.825203","40.287483","67.592934","48.392464","51.642635","50.268112","50.266853","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","22.400000","23.398489","13.999969","14.799497","50.000000","50.000000","100.000000","50.000000","2.949847","88.160126","0.013334","353.547638","357.599884","46.658367","1.379556","277.255402","376.131409","358.299896","354.192230","6047.428223","18.309912","25.000000","0.616686","3.480148","0.098000","104.000000","2.780221","0.002987","83.000000","39.362530","1.962095","1.090948","100.000000","30.406033","14.086129","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","50.959999","14.000000","1.068918","-0.064115","3.405867","-7.858278","42.367615","683.247192","0.780000","0.162000","47.221437090088","14.763564675123","684.89"
